Software providor ID,Customer Type,Annual Charges ,Biggest market,Invoice generation,E invoice generation,Delivery challan Generation,E way bill generation,LR generation,Multi user compatibility,Multi tenant usability,Tasks management,Customization,Vehicle allocation,Inventory Management,Integrated Payment gatways,Logistics management,Customer management,User satisfied
I279700,Large,25000,Pune,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
I327855,SME,25000,Mumbai,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
I919985,Large,25000,Kolkata,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
I198815,Large,200000,Mumbai,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
I233848,SME,60000,Hyderabad,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
I294094,SME,25000,Bangalore,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No
I111618,ALL,200000,Kolkata,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
I290275,Large,100000,Chennai,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
I117694,Large,150000,Mumbai,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
I198011,Large,150000,Pune,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I133832,SME,80000,Chennai,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
I319578,ALL,150000,Bangalore,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
I257445,Large,80000,Madhya Pradesh,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
I198148,SME,60000,Pune,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
I277818,Large,150000,Madhya Pradesh,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes
I449524,SME,150000,Bangalore,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No
I863966,Large,150000,Kolkata,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No
I136607,Large,200000,Bangalore,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
I102417,SME,150000,Mumbai,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
I940641,ALL,100000,Chennai,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
I200171,SME,80000,Jaipur,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
I288668,SME,200000,Mumbai,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No
I312219,Large,200000,Chennai,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
I120854,Large,150000,Pune,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
I121280,SME,80000,New Delhi,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
I270306,SME,80000,Hyderabad,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
I189983,SME,100000,Chennai,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
I799670,SME,100000,Chennai,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes
I984867,Large,200000,Kolkata,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes
I164708,Large,25000,Kerala,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
I123753,Large,100000,Chennai,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
I315987,Large,150000,Hyderabad,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I111083,Large,80000,Hyderabad,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No
I146102,SME,25000,Mumbai,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
I255521,SME,150000,Chennai,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No
I285167,Large,100000,Hyderabad,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
I321137,ALL,100000,Hyderabad,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
I753412,Large,200000,Bangalore,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No
I247383,Large,80000,Madhya Pradesh,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I288447,SME,60000,Chennai,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
I285624,Large,25000,Kerala,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
I306669,ALL,100000,Kolkata,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
I844316,ALL,200000,New Delhi,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
I336275,Large,80000,Jaipur,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes
I143258,ALL,100000,New Delhi,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes
I127438,ALL,150000,New Delhi,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes
I151471,ALL,100000,Mumbai,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
I228645,SME,150000,Mumbai,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No
I325306,SME,80000,Kolkata,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
I572490,SME,80000,New Delhi,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
I128887,SME,60000,New Delhi,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I112203,Large,80000,Bangalore,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
I658042,Large,100000,Kerala,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
I176458,Large,150000,Hyderabad,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
I512367,SME,25000,Kerala,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes
I334697,SME,25000,Jaipur,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
I406094,Large,60000,Mumbai,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
I235766,Large,150000,Madhya Pradesh,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
I724947,Large,25000,Jaipur,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
I633380,ALL,80000,Kerala,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
I268716,SME,200000,Madhya Pradesh,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
I197049,SME,60000,Pune,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No
I248144,SME,80000,Madhya Pradesh,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
I275110,ALL,25000,Madhya Pradesh,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No
I184830,ALL,80000,Pune,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
I306665,ALL,25000,Bangalore,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
I262635,ALL,100000,Hyderabad,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
I189384,ALL,80000,Chennai,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
I177763,SME,80000,Madhya Pradesh,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
I180249,Large,25000,Kolkata,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
I197526,Large,25000,Mumbai,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
I267743,Large,80000,Madhya Pradesh,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
I234231,SME,25000,Kerala,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
I394358,SME,150000,New Delhi,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
I182658,SME,100000,Kerala,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
I710266,SME,80000,Pune,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
I199427,Large,25000,Bangalore,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No
I220007,Large,100000,Madhya Pradesh,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
I435068,Large,80000,Kerala,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No
I126484,Large,150000,Madhya Pradesh,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
I925011,Large,80000,Madhya Pradesh,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
I264790,SME,150000,Kolkata,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No
I256915,Large,60000,Hyderabad,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No
I270483,ALL,100000,Pune,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
I305308,Large,200000,Kerala,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No
I299561,SME,100000,Bangalore,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
I129006,ALL,25000,Pune,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
I337610,Large,80000,Pune,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
I210813,ALL,100000,Kolkata,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
I300582,SME,200000,Mumbai,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
I230953,SME,25000,Madhya Pradesh,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
I178765,ALL,80000,Kerala,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
I424303,Large,25000,New Delhi,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes
I540209,Large,100000,Kerala,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
I138487,Large,80000,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes
I191282,Large,100000,Chennai,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
I380114,SME,100000,Kolkata,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes
I153785,SME,25000,Hyderabad,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
I534525,ALL,200000,Chennai,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
I779370,Large,60000,Bangalore,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
I287833,Large,25000,Hyderabad,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
I250762,SME,150000,Hyderabad,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
I659510,ALL,25000,New Delhi,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
I189861,SME,25000,Chennai,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I856432,ALL,150000,Madhya Pradesh,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No
I273842,SME,150000,Chennai,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No
I239348,SME,100000,Mumbai,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No
I137857,Large,60000,Kerala,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
I106905,Large,60000,Hyderabad,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
I324624,SME,25000,Pune,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No
I308025,Large,200000,Madhya Pradesh,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
I280651,ALL,100000,Jaipur,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes
I251532,SME,25000,Hyderabad,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
I375887,SME,25000,Mumbai,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No
I262770,SME,100000,Pune,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No
I268431,ALL,150000,Hyderabad,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
I320673,Large,80000,Kerala,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
I152129,Large,80000,Hyderabad,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No
I196491,SME,100000,Pune,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
I241495,SME,80000,Jaipur,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
I622843,ALL,80000,Hyderabad,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
I769024,SME,150000,New Delhi,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No
I127489,SME,200000,Madhya Pradesh,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
I327656,SME,80000,Bangalore,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
I178277,SME,80000,New Delhi,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
I271780,Large,200000,Hyderabad,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
I177933,ALL,25000,Jaipur,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
I316293,Large,25000,Madhya Pradesh,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
I270620,Large,150000,Pune,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
I278801,Large,200000,Kolkata,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
I144708,Large,150000,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No
I136887,Large,100000,Bangalore,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
I139547,ALL,80000,Mumbai,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No
I147196,Large,25000,Madhya Pradesh,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No
I199509,Large,60000,Pune,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I242787,Large,100000,New Delhi,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
I319744,Large,25000,Madhya Pradesh,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
I254278,SME,100000,Kolkata,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
I235180,Large,100000,Chennai,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
I263280,SME,60000,Chennai,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No
I289950,Large,80000,Mumbai,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
I163946,Large,25000,Jaipur,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
I847772,ALL,60000,Bangalore,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
I102221,ALL,60000,Kerala,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
I485166,ALL,150000,Chennai,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
I335329,ALL,150000,Pune,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No
I533468,ALL,60000,Kerala,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
I216168,SME,80000,Pune,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
I148270,Large,100000,Jaipur,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
I174409,Large,80000,Mumbai,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
I303701,Large,150000,Madhya Pradesh,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes
I298289,Large,100000,New Delhi,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
I150043,Large,150000,Kerala,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
I150907,Large,25000,Kerala,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No
I111059,Large,25000,Hyderabad,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
I231710,Large,100000,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
I678441,SME,25000,New Delhi,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
I237246,SME,25000,New Delhi,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
I461149,SME,25000,Hyderabad,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes
I318323,SME,80000,Pune,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
I314968,Large,200000,Kerala,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes
I322376,SME,80000,Kolkata,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
I773492,SME,200000,Chennai,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
I151733,Large,150000,Madhya Pradesh,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I968111,ALL,200000,New Delhi,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
I414277,SME,100000,Mumbai,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
I337317,ALL,100000,Chennai,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
I557984,ALL,200000,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
I124823,Large,100000,Kerala,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I191871,SME,100000,Hyderabad,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
I183820,ALL,100000,Chennai,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No
I268545,Large,150000,Pune,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
I415929,ALL,200000,Bangalore,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No
I196485,ALL,150000,Kerala,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
I141875,Large,150000,Chennai,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes
I754103,SME,60000,Pune,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
I205724,SME,80000,Jaipur,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No
I611336,SME,80000,Kerala,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
I827695,ALL,80000,Pune,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes
I104784,ALL,25000,Hyderabad,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
I311380,Large,100000,Kolkata,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes
I170302,SME,80000,Bangalore,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
I166713,ALL,25000,Madhya Pradesh,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I315677,SME,25000,New Delhi,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No
I118843,SME,100000,Mumbai,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
I253970,SME,80000,New Delhi,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
I687043,SME,200000,Jaipur,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
I253770,Large,60000,Kolkata,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
I225826,SME,100000,Mumbai,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No
I266671,ALL,80000,Madhya Pradesh,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
I139365,SME,25000,Mumbai,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
I105778,ALL,60000,Kolkata,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
I208264,Large,200000,Bangalore,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No
I239343,SME,100000,Kerala,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
I658467,ALL,150000,Hyderabad,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
I298868,ALL,200000,Jaipur,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
I984876,SME,100000,Kerala,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
I810625,SME,25000,Kolkata,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
I210023,Large,25000,Hyderabad,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
I590606,ALL,100000,Bangalore,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
I319146,Large,100000,Pune,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
I267257,SME,25000,Pune,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes
I444628,Large,200000,Kerala,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
I129998,ALL,150000,Jaipur,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
I880451,SME,200000,Hyderabad,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
I251666,ALL,150000,Madhya Pradesh,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
I288426,ALL,200000,Madhya Pradesh,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
I173872,Large,80000,Mumbai,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No
I308597,SME,150000,Jaipur,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No
I307750,SME,100000,Kerala,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No
I153610,Large,100000,Kerala,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
I308939,SME,60000,Mumbai,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No
I597888,SME,80000,Jaipur,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
I216544,SME,60000,Kerala,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
I415834,SME,100000,Madhya Pradesh,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
I158402,Large,150000,Kerala,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
I872150,ALL,80000,Mumbai,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No
I149528,SME,200000,Chennai,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
I193417,SME,60000,Kerala,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
I779102,ALL,25000,Madhya Pradesh,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
I277713,ALL,80000,Jaipur,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes
I104956,Large,200000,New Delhi,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes
I230170,SME,80000,Madhya Pradesh,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No
I263025,Large,80000,Mumbai,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes
I308121,SME,25000,Mumbai,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes
I292250,Large,150000,Pune,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
